rank	name	verdict	download_count	n_direct_deps	n_in_dataset	n_tp	n_notp	n_unk	dep_tp_ratio
248	parso	notp	93124964						
249	cfgv	notp	92443350						
250	cython	notp	92121082						
251	jedi	notp	91253012	1	1	0	1	0	0.0
252	gunicorn	notp	90807569	1	1	1	0	0	1.0
253	py4j	notp	90755975						
254	google-cloud-secret-manager	tp	90431466	8	8	3	5	0	0.375
255	opentelemetry-util-http	notp	90333339						
256	importlib-resources	notp	90294326	1	1	0	1	0	0.0
257	python-json-logger	notp	89636311	1	1	1	0	0	1.0
258	opensearch-py	tp	89057534	7	7	5	2	0	0.7142857142857143
259	executing	notp	88894738						
260	opentelemetry-instrumentation-requests	notp	87858116	4	4	0	4	0	0.0
261	tiktoken	notp	87164001	2	2	1	1	0	0.5
262	matplotlib-inline	tp	87040289	1	1	1	0	0	1.0
263	httptools	notp	86974692						
264	asttokens	notp	86671185						
265	asgiref	notp	86546104	1	1	1	0	0	1.0
266	mcp	tp	85728360	14	14	10	4	0	0.7142857142857143
267	nest-asyncio	notp	85706954						
268	langchain-core	tp	84873282	8	8	6	2	0	0.75
269	sentry-sdk	notp	84687520	2	2	2	0	0	1.0
270	grpc-google-iam-v1	tp	84239023	3	3	1	2	0	0.3333333333333333
271	isort	notp	83644003						
272	requests-aws4auth	notp	83189706	1	1	1	0	0	1.0
273	markdown	notp	83181625						
274	webencodings	notp	82749465						
275	httpx-sse	notp	82666055						
276	dbt-core	notp	80661617	22	22	15	7	0	0.6818181818181818
277	stack-data	notp	80661509	3	3	0	3	0	0.0
278	sse-starlette	notp	80523226	2	2	2	0	0	1.0
279	pure-eval	notp	80399659						
280	cachecontrol	tp	80356844	2	2	2	0	0	1.0
281	grpcio-health-checking	notp	79706655	2	2	0	2	0	0.0
282	opentelemetry-exporter-prometheus	notp	79312862	3	3	0	3	0	0.0
283	google-cloud-batch	tp	78681169	7	7	2	5	0	0.2857142857142857
284	pytest-xdist	tp	78297479	2	2	2	0	0	1.0
285	aliyun-python-sdk-core	notp	78172540						
286	pymongo	tp	77515971	1	1	1	0	0	1.0
287	execnet	tp	76935853						
288	awswrangler	tp	75732620	8	8	4	4	0	0.5
289	ply	notp	75443203						
290	typing-inspect	notp	75396909						
291	databricks-sdk	tp	75389470	3	3	2	1	0	0.6666666666666666
292	authlib	tp	75323842	1	1	1	0	0	1.0
293	debugpy	notp	74926697						
294	litellm	tp	74857258	12	12	6	6	0	0.5
295	google-analytics-admin	tp	74549670	7	7	2	5	0	0.2857142857142857
296	watchdog	notp	74528559						
297	termcolor	tp	73573315						
298	pymysql	notp	73454105						
299	aioitertools	tp	73343292	1	1	1	0	0	1.0
300	typedload	notp	72861580						
301	pkginfo	notp	72821800						
302	xxhash	tp	72753076						
303	dulwich	tp	71599175	2	2	2	0	0	1.0
304	pyzmq	tp	71242057	1	1	0	1	0	0.0
305	mccabe	notp	70702243						
306	installer	tp	70141251						
307	dbt-adapters	tp	70087609	7	7	5	2	0	0.7142857142857143
308	ruamel-yaml-clib	notp	69782107						
309	typer-slim	tp	69700655	1	1	1	0	0	1.0
310	h2	notp	69565264	2	2	0	2	0	0.0
311	hyperframe	notp	69349181						
312	pytest-mock	tp	69170032	1	1	1	0	0	1.0
313	hpack	notp	69148131						
